kristalsâš	kiteinen	a		piras
luškâ	haalea	a		piras
siävŋus	samea	a		piras
moiváá	samea	a		piras
várnuttis	kurja	a	BODY_A	piras
luáđhus	ilmava	a		piras
njyebžilis	joustava	a		piras
skiččee	nariseva	a	OBJECT_A	piras
tolmiš	ravitseva	a	FOOD_OTHER	piras
korrâ kova	a	OBJECT_A	piras
meriáigásâš	säännöllinen, määräaikainen	a		piras
vettâ	vähäsuolainen	a	FOOD_OTHER	piras
cuávhus	rikkonainen	a	OBJECT_A	piras
háitulâš	haitallinen	a		piras
epitáválâš	poikkeuksellinen, epätavallinen	a		piras
vávjálâs	epäluuloinen	a	HUMAN_A	piras
kollenallii	kultapitoinen	a		piras
kalkkânálásâš	kalkkipitoinen	a		piras
rohâdis	vaikeakulkuinen	a		piras
jieččii	itsenäinen	a	HUMAN_A	piras
ohtâlâš	yhtenäinen	a		piras
vildáá	hurja, hurjapäinen	a	HUMAN_A	piras
jiešvuođâlâš	omaperäinen	a	HUMAN_A	piras
pelettis	puolueeton	a	HUMAN_A	piras
siervi	hento	a		piras
tiätuäŋgiris	utelias	a	HUMAN_A	piras
raavâdvaljaa	ravinteikas	a		piras
lašmâdis	reipas	a	HUMAN_A	piras
álššáá	yritteliäs	a	HUMAN_A	piras
čuássid	viileä	a	WEATHER_A	piras
tooškâs	kiinteä	a	OBJECT_A	piras
hormiš	henkeäsalpaava, jylhä	a		piras
koskâvepsi	vatsaevä	n	BODYPART	piras
ovdâvepsi	rintaevä	n	BODYPART	piras
riššoo	räiskyvä	a		piras
jehhee	vedenpitävä	a	OBJECT_A	piras
kiäldulâš	jännittävä	a	EXPERIENCE_A	piras
iärdutteijee	ärsyttävä	a	HUMAN_A	piras
šävvee	kohiseva, ryöppyävä	a	FOOD_OTHER	piras
tuáŋgi	kömpelö	a	HUMAN_A	piras
pelnub	puolitoista	num	mNUMBER	piras
cuoppâ	kalan liha	n		piras
čuoggiistâhskuáppu	pistorasia	n		piras
muttee	muuntaja	n		piras
atâšteijee	ahdistelija	n		piras
páruluávdástellee	lainelaitailija	n		piras
purjâsluávdástellee	purjelautailija	n		piras
čiehčâmluávdástellee	potkulautailija	n		piras
šleđgâlinjâš	sähkölinja	n		piras
vuorâččâsmyerji	variksenmarja	n		piras
aaštâ	uhka	n		piras
roovvâd	kiima-aika	n		piras
paalgâdäigi	räkkäaika	n		piras
čuovâtornâ	majakka	n	BUILDING	piras
tamppâteelaak	laivatelakka	n	BUILDING	piras
rääpis	rakka	n		piras
vuáksákälbi	mullikka	n		piras
kälbi	vasikka	n	ANIMAL_DOM	piras
luomukälbi	luomuvasikka	n		piras
jávvunjaajâg	jauhosavikka	n	PLANT	piras
vijđodâh	pinta-ala	n		piras
jävrisyeini	järvikaisla	n	PLANT	piras
munevuávám	ennakkosuunnitelma	n		piras
čuurâ	lauma	n		piras
čolle	kohouma	n		piras
murrišin	valppaana, valppaina	n		piras
hiŋgál	karsina	n		piras
saaŋaaš	kutina	n		piras
kievđâsäitti	harppuuna	n		piras
njuácu	vimpa	n		piras
saatuulviltti	satulahuopa	n		piras
tiälkkukodde	täpläpeura	n	ANIMAL_WILD	piras
vuáđustâs	perusta	n		piras
kolbâ	viitta	n		piras
heltta	n		piras
vuárkkáfuoddâr	säilörehua	n		piras
hormiš	jylhä, henkeäsalpaava	n		piras
čapiskirjáá	mustankirjava	n	COLOUR	piras
uáli	kanava	n		piras
piäiváávuoidâs	aurinkovoide	n		piras
kyeddimčoonâs	kantoside	n		piras
liegâsvuođâsuonjâr	lämpösäde	n		piras
soovsâuáivi	huopaohdake	n		piras
lihâstâs	liike	n		piras
kuškâdâs	kuivike	n		piras
huššâ	hyörinä, vilske	n		piras
pävirstielâs	paperisuikale	n		piras
kiärdu	vanne	n		piras
jiešvyehi	piirre	n		piras
čuoškâpaldanâs	sääskikarkote	n		piras
cekki	aste	n		piras
faskottâs	raaste	n		piras
lapse	kaste	n		piras
kolgos	neste	n		piras
suddâmčuágástâh	sulamispiste	n		piras
tuoldâmčuágástâh	kiehumispiste	n		piras
sierânistee	eriste	n		piras
pyevtittâskuávlu	tuotantoalue	n		piras
minikaavpug	pienoiskauounki	n	PLACE_STAYING	piras
tuuvdâ	tuki	n		piras
iššeedviehâ	isäntäväki	n		piras
vyelejotteemtunnel	alikulkutunneli	n	ROAD	piras
tiivool	tivoli	n		piras
uárjipieggâ	lounaistuuli	n	WEATHER	piras
haikkâ	tammi	n	PLANT	piras
suoskâmkumi	purukumi	n	FOOD_GROCERY	piras
šlubborääsi	osmankäämi	n		piras
vuáksá	sonni	n	ANIMAL_DOM	piras
saarni	saarni	n	PLANT	piras
reeivâlonottemskippáár	kirjeenvaihtotoveri	n	FAMILY	piras
näpikiärdu	napapiiri	n		piras
reeviir	reviiri	n		piras
korrâ	kuori	n		piras
meetaalkorrâ	metallikuori	n		piras
vääri	vuori	n	NATURE_PLACE	piras
muorâkárdár	puutarhuri	n	PROFESSION	piras
čuoppâmpuimur	leikkuupuimuri	n		piras
muáručääci	murtovesi	n		piras
vadâsverdi	korsivarsi	n		piras
vaadâs	korsi	n		piras
kyelikassâ	kalakassi	n		piras
väri	lossi	n	VEHICLE	piras
meinimárdu	mätipussi	n		piras
ruškâdâspuursâš	ruskuaispussi	n		piras
runnevuoijâdem	avantouinti	n		piras
uáhum	käynti	n		piras
niälgádem	välipalan syönti	n		piras
ciälháttâs	viesti	n		piras
sijđosärgisáiccu	kylkiviiva-aisti	n		piras
hajâáiccu	hajuaisti	n		piras
uáinimáiccu	näköaisti	n		piras
hiävušbaaleet	hevobaletti	n		piras
máášu	maltti	n		piras
muáti	parvi	n		piras
puzzâ	höyhen	n		piras
vielgâdâs	valkuainen	n		piras
ruškâdâs	ruskuainen	n		piras
kuolgiis	karvainen	n		piras
luávkkám	loukkaaminen	n		piras
lieggâvijđánem	lämpölaajeminen	n		piras
jieŋâalnuággum	pilkkiminen	n		piras
ruŋkestem	korpin ronkkuminen	n		piras
kerdikárvudâttâm	kerrospukeutuminen	n		piras
juávkkukiškánem	joukkokuoriutuminen	n		piras
jiäráskittem	jännittäminen	n		piras
ohtim	yhteyttäminen	n		piras
ruávváás	ruoikkoinen	n		piras
viirijâš	viiriäinen	n		piras
eennâmhurgee	maakiitäjäinen	n		piras
äijihšoŋŋâ	ukkonen	n		piras
ruáhukiärttusâš	ruokokerttunen	n		piras
škajâluođân	kaikuluotain	n		piras
lastikjvijvám	muoviviivain	n		piras
kiihâm	soidin	n		piras
vuolgâttempiergâs	lähetin	n		piras
viehâkoolvâkalvemmaašin	kylvölannoitin	n		piras
vuástáväldimpiergâs	vastaanotin	n		piras
širottâs	heijastin	n		piras
sierânistee	eristin	n		piras
veigiellee	hämäräeläin	n		piras
fiskisvuoivâssyeini	keltamaksaruoho	n		piras
algâčuolmâ	alkio	n		piras
laanjâs	viidakko	n		piras
šaveniŋálâs	emakko	n		piras
väristáálu	vuorenpeikko	n		piras
ciäkkádâh	asteikko	n		piras
šlanttâ	kolikko	n		piras
fiskiskiđđâčalme	kevätesikko	n		piras
uvjâuđâgâš	untuvikko	n		piras
merâtokko	meritokko	n		piras
vielgistäsni	valkovuokko	n		piras
uuccâmruvdustâh	hakuruudukko	n		piras
tulvevaahâg	tulvavahinko	n		piras
čuásáttâhčuovâ	kohdevalo	n		piras
suárvi	kelo	n		piras
áimuvuovdâ	ilmaontelo	n		piras
ruáiru	railot railo	n		piras
čäcičikâlâs	vesikello	n		piras
áigápuátu	toimeentulo	n		piras
mutáttâh	muuntamo	n		piras
puáláán	polttimo	n		piras
iäláttâs	elinkeino	n		piras
suvrâ	happo	n		piras
vyevdiloddááš	järripeippo	n		piras
suogâ	harso	n		piras
čuosah	sulkasato	n		piras
eennâmtiätu	maantieto	n		piras
šleđgâjođos	sähköjohto	n		piras
čollestiällu	kohoasento	n		piras
jiešhaldâšem	itsehallinto	n		piras
šaddoraavâd	kasviravinto	n		piras
iälšu	kunto	n		piras
vorrâjotteem	verenkierto	n		piras
áiccu	vaisto	n		piras
tavesuáluikuávlu	ulkosaaristo	n		piras
riddosuáluikuávlu	sisäsaaristo	n		piras
várádâh	vuoristo	n		piras
lätteeráánu	matto	n		piras
čäcirotto	vesirutto	n		piras
liivâr	n		piras
kivkkâhâš	kiuas	n		piras
pokkiittâs	tungos	n		piras
šleđgâpotkâ	sähkökatkos	n		piras
paajaškerdi	pintakerros	n		piras
ovdedemlájádâs	jalostuslaitos	n		piras
