puuicâs	puikea	a		bio3
päddilágán	nauhamainen	a		bio3
váimulágán	herttamainen	a		bio3
suormâjuáhusâš	sormijakoinen	a		bio3
parâlostâstâhlâš	parilehdykkäinen	a		bio3
säittilágán	keihäsmäinen	a		bio3
orgaanlâš 	eloperäinen	a		bio3
täsiliegâslâš	tasalämpöinen	a		bio3
rievdeeliegâslâš	vaihtolämpöinen	a		bio3
salâsteijee 	saalistaja	n		bio3
vielgadas	valkuainen munassa	n		bio3
ruškâdâs	ruskuainen munassa	n		bio3
ovdâskodde 	eduskunta	n		bio3
robdâsäärgis	ääriviiva	n		bio3
šaddoširrâ 	kirva	n		bio3
vinjekove	viistokuva	n		bio3
uvjâ	untuva	n		bio3
šovos 	hede	n		bio3
molssa	vaihde	n		bio3
teedâ	paine	n		bio3
ollâteedâ 	korkeapaine	n		bio3
vyelligisteedâ 	matalapaine	n		bio3
kulmâhâšrááhtus	kolmiorakenne	n		bio3
jotolâh 	liikenne	n		bio3
iskos	koe	n		bio3
siirdâloigiittâh 	siirtolohkare	n		bio3
mietâkolgos	mesikaste	n		bio3
piäsádâh 	pesue, poikue	n		bio3
jotolâhmerkkâ 	liikennemerkki	n		bio3
orostâh 	pysäkki	n		bio3
emi	emi	n		bio3
näpipirrâdâh 	napapiiri	n		bio3
kukkodâhpirrâdâh 	pituuspiiri	n		bio3
kobdodâhpirrâdâh 	leveyspiiri	n		bio3
eennâmverdi	maavarsi	n		bio3
puzzâsuonâsâš	sulkasuoninen lehti	n		bio3
kuámmirsuonâsâš	kourasuoninen lehti	n		bio3
jolgâsuonâsâš	silposuoninen lehti	n		bio3
loovdâlostâ 	verholehti	n		bio3
lieđilostâ 	terälehti	n		bio3
hajâáiccu	hajuaisti	n		bio3
valvat	valvatti	n		bio3
čácikiäinu 	vesireitti	n		bio3
graniit 	graniitti	n		bio3
puzzâ	höyhen	n		bio3
suormâlostâstâhlâš	sormilehdykkäien	n		bio3
ruottâmjuolgâg	kaksoisjalkainen	n		bio3
jyemeehjuolgâg	juoksujalkainen	n		bio3
čielgitáávtág 	selkärankainen	n		bio3
puohporree 	kaikkiruokainen	n		bio3
kuátikuuđhâš	ryppyviholainen	n		bio3
virgeomâhâš	viranomainen	n		bio3
uánihissuájásâš	lyhytsiipinen	n		bio3
olečuággoo 	loispistiäinen	n		bio3
eennâmhurgee 	maakiitäjäinen	n		bio3
njuolâijjâhâš	nuoliyökkönen	n		bio3
huhti-ijjâhâš	huhtiyökkönen	n		bio3
leibipihtee	leivänpaahdin	n		bio3
časkostuástus	iskunvaimennin	n		bio3
širottâs 	heijastin	n		bio3
siärvádâhellee 	yhdyskuntaeläin	n		bio3
šolbâkällee 	silokallio	n		bio3
uuccâmruvdustâh	hakuruudukko	n		bio3
vuáládâh 	alanko	n		bio3
skuáppu 	kotelo	n		bio3
kuocâkiccee 	turkkilo	n		bio3
skuáppu 	kotilo	n		bio3
kulo	kuuloaisti, kuulo	n		bio3
hävvilostâ	piharatamo	n		bio3
kiirjágloddááš	kirjosieppo	n		bio3
kärŋilis tääsi 	kalteva taso	n		bio3
liäđus 	kukinto	n		bio3
sävrivuotâ 	kunto	n		bio3
kaskas 	kaskas	n		bio3
vuáđusáárgus	pohjapiirros	n		bio3
oijâgâs	horros	n		bio3
tälvioijâgâs 	talvihorros	n		bio3
häämimolsom 	muodonmuutos	n		bio3
haldâttâs	hallitus	n		bio3
komovuotâ	avaruus	n		bio3
ässeisaahâdvuotâ 	väentiheys	n		bio3
njomâtteijee 	nisäkäs	n		bio3
vuoptâkäskee 	kärsäkäs	n		bio3
raavvâdkuálus	ravintoketju	n		bio3
šleđgâčaskem	sähköisku	n		bio3
urbe 	silmu	n		bio3
urbečuomâ	silmusuomu	n		bio3
jietânâskirno 	hiidenkirnu	n		bio3
marsu 	marsu	n		bio3
lieđikovjâ	siitepöly	n		bio3
olgoštem 	syrjiä	n		bio3
lostâstâh 	lehdykkä	n		bio3
viermičalme	verkkosilmä	n		bio3
pähkin	pähkinä	n		bio3
källeevuáđu 	kallioperä	n		bio3
